Cidade,CodigoDaCidade,Data,Regiao,Pais
Aparecida,3502507,2022-05-04 01:31:27.344911,Guaratinguetá,BR
Arapeí,3503158,2022-05-04 01:31:27.344911,Bananal,BR
Areias,3503505,2022-05-04 01:31:27.344911,Bananal,BR
Bananal,3504909,2022-05-04 01:31:27.344911,Bananal,BR
Caçapava,3508504,2022-05-04 01:31:27.344911,São José dos Campos,BR
Cachoeira Paulista,3508603,2022-05-04 01:31:27.344911,Guaratinguetá,BR
Campos do Jordão,3509700,2022-05-04 01:31:27.344911,Campos do Jordão,BR
Canas,3509957,2022-05-04 01:31:27.344911,Guaratinguetá,BR
Caraguatatuba,3510500,2022-05-04 01:31:27.344911,Caraguatatuba,BR
Cruzeiro,3513405,2022-05-04 01:31:27.344911,Guaratinguetá,BR
Cunha,3513603,2022-05-04 01:31:27.344911,Paraibuna/Paraitinga,BR
Guaratinguetá,3518404,2022-05-04 01:31:27.344911,Guaratinguetá,BR
Igaratá,3520202,2022-05-04 01:31:27.344911,São José dos Campos,BR
Ilhabela,3520400,2022-05-04 01:31:27.344911,Caraguatatuba,BR
Jacareí,3524402,2022-05-04 01:31:27.344911,São José dos Campos,BR
Jambeiro,3524907,2022-05-04 01:31:27.344911,Paraibuna/Paraitinga,BR
Lagoinha,3526308,2022-05-04 01:31:27.344911,Paraibuna/Paraitinga,BR
Lavrinhas,3526605,2022-05-04 01:31:27.344911,Guaratinguetá,BR
Lorena,3527207,2022-05-04 01:31:27.344911,Guaratinguetá,BR
Monteiro Lobato,3531704,2022-05-04 01:31:27.344911,Campos do Jordão,BR
Natividade da Serra,3532306,2022-05-04 01:31:27.344911,Paraibuna/Paraitinga,BR
Paraibuna,3535606,2022-05-04 01:31:27.344911,Paraibuna/Paraitinga,BR
Pindamonhangaba,3538006,2022-05-04 01:31:27.344911,São José dos Campos,BR
Piquete,3538501,2022-05-04 01:31:27.344911,Guaratinguetá,BR
Potim,3540754,2022-05-04 01:31:27.344911,Guaratinguetá,BR
Queluz,3541901,2022-05-04 01:31:27.344911,Guaratinguetá,BR
Redenção da Serra,3542305,2022-05-04 01:31:27.344911,Paraibuna/Paraitinga,BR
Roseira,3544301,2022-05-04 01:31:27.344911,Guaratinguetá,BR
Santa Branca,3546009,2022-05-04 01:31:27.344911,São José dos Campos,BR
Santo Antônio do Pinhal,3548203,2022-05-04 01:31:27.344911,Campos do Jordão,BR
São Bento do Sapucaí,3548609,2022-05-04 01:31:27.344911,Campos do Jordão,BR
São José do Barreiro,3549607,2022-05-04 01:31:27.344911,Bananal,BR
São José dos Campos,3549904,2022-05-04 01:31:27.344911,São José dos Campos,BR
São Luiz do Paraitinga,3550001,2022-05-04 01:31:27.344911,Paraibuna/Paraitinga,BR
São Sebastião,3550704,2022-05-04 01:31:27.344911,Caraguatatuba,BR
Silveiras,3552007,2022-05-04 01:31:27.344911,Bananal,BR
Taubaté,3554102,2022-05-04 01:31:27.344911,São José dos Campos,BR
Tremembé,3554805,2022-05-04 01:31:27.344911,São José dos Campos,BR
Ubatuba,3555406,2022-05-04 01:31:27.344911,Caraguatatuba,BR
