,Cidade,CodigoDaCidade,Data,Regiao,Pais,Latitude,Longigute,TemperaturaMaxima (ºC),TemperaturaMinima (ºC),TemperaturaMedia (ºC),VaiChover,ChanceDeChuva,CondicaoDoTempo,NascerDoSol,PorDoSol,VelocidadeMaximaDoVento (Metros/Segundos)
0,Aparecida,3502507,2022-05-05,Guaratinguetá,BR,-22.8516,-45.2341,23.22,12.24,21.58,Não,0.22,Clear,06:22:05,17:33:06,2.16
1,Aparecida,3502507,2022-05-06,Guaratinguetá,BR,-22.8516,-45.2341,24.64,13.02,22.69,Não,0.12,Clear,06:22:32,17:32:31,1.04
2,Aparecida,3502507,2022-05-07,Guaratinguetá,BR,-22.8516,-45.2341,24.11,14.48,21.63,Não,0.09,Clouds,06:22:59,17:31:58,1.06
3,Aparecida,3502507,2022-05-08,Guaratinguetá,BR,-22.8516,-45.2341,22.93,16.49,22.93,Não,0.17,Clouds,06:23:27,17:31:25,1.61
4,Aparecida,3502507,2022-05-09,Guaratinguetá,BR,-22.8516,-45.2341,24.68,14.72,24.03,Não,0.04,Clear,06:23:54,17:30:53,1.41
5,Aparecida,3502507,2022-05-10,Guaratinguetá,BR,-22.8516,-45.2341,25.82,12.91,24.74,Não,0.07,Clouds,06:24:22,17:30:22,1.54
6,Aparecida,3502507,2022-05-11,Guaratinguetá,BR,-22.8516,-45.2341,19.08,15.3,16.86,Sim,1.0,Rain,06:24:50,17:29:53,1.76
7,Aparecida,3502507,2022-05-12,Guaratinguetá,BR,-22.8516,-45.2341,22.15,14.76,22.06,Sim,0.48,Rain,06:25:17,17:29:24,1.43
8,Arapeí,3503158,2022-05-05,Bananal,BR,-22.6739,-44.4478,25.72,15.03,24.2,Não,0.49,Clear,06:18:42,17:30:12,1.56
9,Arapeí,3503158,2022-05-06,Bananal,BR,-22.6739,-44.4478,23.38,13.9,22.93,Sim,0.28,Rain,06:19:09,17:29:37,1.85
10,Arapeí,3503158,2022-05-07,Bananal,BR,-22.6739,-44.4478,21.94,16.12,20.21,Sim,0.27,Rain,06:19:35,17:29:04,1.63
11,Arapeí,3503158,2022-05-08,Bananal,BR,-22.6739,-44.4478,21.24,16.39,21.24,Sim,0.33,Rain,06:20:03,17:28:31,1.48
12,Arapeí,3503158,2022-05-09,Bananal,BR,-22.6739,-44.4478,24.14,15.36,24.14,Não,0.0,Clear,06:20:30,17:28:00,1.66
